config,class,lambda
gaussian_best,negative,0.213329
gaussian_best,negative,0.227223
gaussian_best,negative,0.210940
gaussian_best,negative,0.162037
gaussian_best,negative,0.189252
gaussian_best,negative,0.230952
gaussian_best,negative,0.194225
gaussian_best,negative,0.072584
gaussian_best,negative,0.148476
gaussian_best,negative,0.109648
gaussian_best,negative,0.268436
gaussian_best,negative,0.319478
gaussian_best,negative,0.183945
gaussian_best,negative,0.099082
gaussian_best,negative,0.428542
gaussian_best,negative,0.233213
gaussian_best,negative,0.279285
gaussian_best,negative,0.074732
gaussian_best,negative,0.107533
gaussian_best,negative,0.234150
gaussian_best,negative,0.239822
gaussian_best,negative,0.300962
gaussian_best,negative,0.285252
gaussian_best,negative,0.125380
gaussian_best,negative,0.148220
gaussian_best,negative,0.166033
gaussian_best,negative,0.347579
gaussian_best,negative,0.173629
gaussian_best,negative,0.278453
gaussian_best,negative,0.196497
gaussian_best,negative,0.151421
gaussian_best,negative,0.196352
gaussian_best,negative,0.225494
gaussian_best,negative,0.350362
gaussian_best,negative,0.215293
gaussian_best,negative,0.193805
gaussian_best,negative,0.277654
gaussian_best,negative,0.224275
gaussian_best,negative,0.489826
gaussian_best,negative,0.197191
gaussian_best,negative,0.297349
gaussian_best,negative,0.205013
gaussian_best,negative,0.254233
gaussian_best,negative,0.415291
gaussian_best,negative,0.240349
gaussian_best,negative,0.238566
gaussian_best,negative,0.196103
gaussian_best,negative,0.140484
gaussian_best,negative,0.261163
gaussian_best,negative,0.345154
gaussian_best,negative,0.285712
gaussian_best,negative,0.240819
gaussian_best,negative,0.270706
gaussian_best,negative,0.156322
gaussian_best,negative,0.039102
gaussian_best,negative,0.217721
gaussian_best,negative,0.253159
gaussian_best,negative,0.231327
gaussian_best,negative,0.411394
gaussian_best,negative,0.216146
gaussian_best,negative,0.137423
gaussian_best,negative,0.222981
gaussian_best,negative,0.179619
gaussian_best,negative,0.118280
gaussian_best,negative,0.146376
gaussian_best,negative,0.119677
gaussian_best,negative,0.174331
gaussian_best,negative,0.353796
gaussian_best,negative,0.125721
gaussian_best,negative,0.374181
gaussian_best,negative,0.254170
gaussian_best,negative,0.153438
gaussian_best,negative,0.259067
gaussian_best,negative,0.274298
gaussian_best,negative,0.104428
gaussian_best,negative,0.188255
gaussian_best,negative,0.203916
gaussian_best,negative,0.271944
gaussian_best,negative,0.129362
gaussian_best,negative,0.230854
gaussian_best,negative,0.237155
gaussian_best,negative,0.176149
gaussian_best,negative,0.185566
gaussian_best,negative,0.227615
gaussian_best,negative,0.216070
gaussian_best,negative,0.178915
gaussian_best,negative,0.233753
gaussian_best,negative,0.177091
gaussian_best,negative,0.369410
gaussian_best,negative,0.290467
gaussian_best,negative,0.156760
gaussian_best,negative,0.151079
gaussian_best,negative,0.187661
gaussian_best,negative,0.218706
gaussian_best,negative,0.218969
gaussian_best,negative,0.200333
gaussian_best,negative,0.217129
gaussian_best,negative,0.247822
gaussian_best,negative,0.246731
gaussian_best,negative,0.151869
gaussian_best,negative,0.247574
gaussian_best,negative,0.504028
gaussian_best,negative,0.293528
gaussian_best,negative,0.247710
gaussian_best,negative,0.190309
gaussian_best,negative,0.175856
gaussian_best,negative,0.196235
gaussian_best,negative,0.111639
gaussian_best,negative,0.187124
gaussian_best,negative,0.316741
gaussian_best,negative,0.108276
gaussian_best,negative,0.233383
gaussian_best,negative,0.155198
gaussian_best,negative,0.228817
gaussian_best,negative,0.391001
gaussian_best,negative,0.196759
gaussian_best,negative,0.202451
gaussian_best,negative,0.115026
gaussian_best,negative,0.183345
gaussian_best,negative,0.292473
gaussian_best,negative,0.289030
gaussian_best,negative,0.126704
gaussian_best,negative,0.251464
gaussian_best,negative,0.195769
gaussian_best,negative,0.231383
gaussian_best,negative,0.186278
gaussian_best,negative,0.217434
gaussian_best,negative,0.162280
gaussian_best,negative,0.236621
gaussian_best,negative,0.135526
gaussian_best,negative,0.446398
gaussian_best,negative,1.000000
gaussian_best,negative,0.363839
gaussian_best,negative,0.214739
gaussian_best,negative,0.168355
gaussian_best,negative,0.075918
gaussian_best,negative,0.223424
gaussian_best,negative,0.208924
gaussian_best,negative,0.434137
gaussian_best,negative,0.405964
gaussian_best,negative,0.151790
gaussian_best,negative,0.201057
gaussian_best,negative,0.128728
gaussian_best,negative,0.415367
gaussian_best,negative,0.170337
gaussian_best,negative,0.191622
gaussian_best,negative,0.228760
gaussian_best,negative,0.107782
gaussian_best,negative,0.232471
gaussian_best,negative,0.249256
gaussian_best,negative,0.292644
gaussian_best,negative,0.236766
gaussian_best,negative,0.072682
gaussian_best,negative,0.150359
gaussian_best,negative,0.309078
gaussian_best,negative,0.180215
gaussian_best,negative,0.280519
gaussian_best,negative,0.247874
gaussian_best,negative,0.200000
gaussian_best,negative,0.218082
gaussian_best,negative,0.134584
gaussian_best,negative,0.257495
gaussian_best,negative,0.302074
gaussian_best,negative,0.231639
gaussian_best,negative,0.177740
gaussian_best,negative,0.207069
gaussian_best,negative,0.203001
gaussian_best,negative,0.209812
gaussian_best,negative,0.432798
gaussian_best,negative,0.360981
gaussian_best,negative,0.211487
gaussian_best,negative,0.205559
gaussian_best,negative,0.123744
gaussian_best,negative,0.166635
gaussian_best,negative,0.229075
gaussian_best,negative,0.337072
gaussian_best,negative,0.110109
gaussian_best,negative,0.156189
gaussian_best,negative,0.188588
gaussian_best,negative,0.109146
gaussian_best,negative,0.208674
gaussian_best,negative,0.127785
gaussian_best,negative,0.261758
gaussian_best,negative,0.104667
gaussian_best,negative,0.281362
gaussian_best,negative,0.232020
gaussian_best,negative,0.185721
gaussian_best,negative,0.079410
gaussian_best,negative,0.113026
gaussian_best,negative,0.163129
gaussian_best,negative,0.279577
gaussian_best,negative,0.230248
gaussian_best,negative,0.199633
gaussian_best,negative,0.087399
gaussian_best,negative,0.120568
gaussian_best,negative,0.414529
gaussian_best,negative,0.303005
gaussian_best,negative,0.239793
gaussian_best,negative,0.193248
gaussian_best,negative,0.167395
gaussian_best,negative,0.127125
gaussian_best,negative,0.152548
gaussian_best,negative,0.130275
gaussian_best,negative,0.250070
gaussian_best,negative,0.297723
gaussian_best,negative,0.179237
gaussian_best,negative,0.153645
gaussian_best,negative,0.213500
gaussian_best,negative,0.137950
gaussian_best,negative,0.264296
gaussian_best,negative,0.229628
gaussian_best,negative,0.333399
gaussian_best,negative,0.241611
gaussian_best,negative,0.268233
gaussian_best,negative,0.162997
gaussian_best,negative,0.421247
gaussian_best,negative,0.196356
gaussian_best,negative,0.286583
gaussian_best,negative,0.242382
gaussian_best,negative,0.257096
gaussian_best,negative,0.255561
gaussian_best,negative,0.083220
gaussian_best,negative,0.106366
gaussian_best,negative,0.093955
gaussian_best,negative,0.263711
gaussian_best,negative,0.161178
gaussian_best,negative,0.241285
gaussian_best,negative,0.153422
gaussian_best,negative,0.063001
gaussian_best,negative,0.169093
gaussian_best,negative,0.126772
gaussian_best,negative,0.180859
gaussian_best,negative,0.314165
gaussian_best,negative,0.192394
gaussian_best,negative,0.186180
gaussian_best,negative,0.205342
gaussian_best,negative,0.215426
gaussian_best,negative,0.226518
gaussian_best,negative,0.036369
gaussian_best,negative,0.149041
gaussian_best,negative,0.320569
gaussian_best,negative,0.214807
gaussian_best,negative,0.199310
gaussian_best,negative,0.219545
gaussian_best,negative,0.095582
gaussian_best,negative,0.201031
gaussian_best,negative,0.203856
gaussian_best,negative,0.271405
gaussian_best,negative,0.120322
gaussian_best,negative,0.106830
gaussian_best,negative,0.173613
gaussian_best,negative,0.137377
gaussian_best,negative,0.218249
gaussian_best,negative,0.317004
gaussian_best,negative,0.111096
gaussian_best,negative,0.174440
gaussian_best,negative,0.307005
gaussian_best,negative,0.349238
gaussian_best,negative,0.194417
gaussian_best,negative,0.153677
gaussian_best,negative,0.212047
gaussian_best,negative,0.140340
gaussian_best,negative,0.195775
gaussian_best,negative,0.331162
gaussian_best,negative,0.142293
gaussian_best,negative,0.364781
gaussian_best,negative,0.149925
gaussian_best,negative,0.456108
gaussian_best,negative,0.152372
gaussian_best,negative,0.249136
gaussian_best,negative,0.199501
gaussian_best,negative,0.138464
gaussian_best,negative,0.177815
gaussian_best,negative,0.145305
gaussian_best,negative,0.162721
gaussian_best,negative,0.184374
gaussian_best,negative,0.259130
gaussian_best,negative,0.470042
gaussian_best,negative,0.373670
gaussian_best,negative,0.262452
gaussian_best,negative,0.371641
gaussian_best,negative,0.244401
gaussian_best,negative,0.155972
gaussian_best,negative,0.337258
gaussian_best,negative,0.220620
gaussian_best,negative,0.209806
gaussian_best,negative,0.217104
gaussian_best,negative,0.126293
gaussian_best,negative,0.297129
gaussian_best,negative,0.062000
gaussian_best,negative,0.637247
gaussian_best,negative,0.259904
gaussian_best,negative,0.321475
gaussian_best,negative,0.152436
gaussian_best,negative,0.166280
gaussian_best,negative,0.165128
gaussian_best,negative,0.151394
gaussian_best,negative,0.156481
gaussian_best,negative,0.161449
gaussian_best,negative,0.314253
gaussian_best,negative,0.352438
gaussian_best,negative,0.252700
gaussian_best,negative,0.437484
gaussian_best,negative,0.127669
gaussian_best,negative,0.196010
gaussian_best,negative,0.114998
gaussian_best,negative,0.449928
gaussian_best,negative,0.160503
gaussian_best,negative,0.239941
gaussian_best,negative,0.437299
gaussian_best,negative,0.202018
gaussian_best,negative,0.163266
gaussian_best,negative,0.167072
gaussian_best,negative,0.102771
gaussian_best,negative,0.200323
gaussian_best,negative,0.074915
gaussian_best,negative,0.129222
gaussian_best,negative,0.120376
gaussian_best,negative,0.281939
gaussian_best,negative,0.216964
gaussian_best,negative,0.264113
gaussian_best,negative,0.423149
gaussian_best,negative,0.213087
gaussian_best,negative,0.360658
gaussian_best,negative,0.139307
gaussian_best,negative,0.296074
gaussian_best,negative,0.272620
gaussian_best,negative,0.092329
gaussian_best,negative,0.229834
gaussian_best,negative,0.124704
gaussian_best,negative,0.214651
gaussian_best,negative,0.403428
gaussian_best,negative,0.238666
gaussian_best,negative,0.236304
gaussian_best,negative,0.299498
gaussian_best,negative,0.395361
gaussian_best,negative,0.310198
gaussian_best,negative,0.149547
gaussian_best,negative,0.186978
gaussian_best,negative,0.127422
gaussian_best,negative,0.284397
gaussian_best,negative,0.177975
gaussian_best,negative,0.145713
gaussian_best,negative,0.423454
gaussian_best,negative,0.195614
gaussian_best,negative,0.223720
gaussian_best,negative,0.381165
gaussian_best,negative,0.133910
gaussian_best,negative,0.104316
gaussian_best,negative,0.179939
gaussian_best,negative,0.258553
gaussian_best,negative,0.193122
gaussian_best,negative,0.159367
gaussian_best,negative,0.248642
gaussian_best,negative,0.166040
gaussian_best,negative,0.305646
gaussian_best,negative,0.292145
gaussian_best,negative,0.065656
gaussian_best,negative,0.430412
gaussian_best,negative,0.183551
gaussian_best,negative,0.133828
gaussian_best,negative,0.088238
gaussian_best,negative,0.230041
gaussian_best,negative,0.241844
gaussian_best,negative,0.097590
gaussian_best,negative,0.122941
gaussian_best,negative,0.232919
gaussian_best,negative,0.320311
gaussian_best,negative,0.227370
gaussian_best,negative,0.167152
gaussian_best,negative,0.268955
gaussian_best,negative,0.187915
gaussian_best,negative,0.229993
gaussian_best,negative,0.045995
gaussian_best,negative,0.309701
gaussian_best,negative,0.094291
gaussian_best,negative,0.186534
gaussian_best,negative,0.232922
gaussian_best,negative,0.128052
gaussian_best,negative,0.318073
gaussian_best,negative,0.153817
gaussian_best,negative,0.460918
gaussian_best,negative,0.115779
gaussian_best,negative,0.368894
gaussian_best,negative,0.213544
gaussian_best,negative,0.233273
gaussian_best,negative,0.216050
gaussian_best,negative,0.096616
gaussian_best,negative,0.198118
gaussian_best,negative,0.254524
gaussian_best,negative,0.175184
gaussian_best,negative,0.135285
gaussian_best,negative,0.084604
gaussian_best,negative,0.177841
gaussian_best,negative,0.210136
gaussian_best,negative,0.216366
gaussian_best,negative,0.193958
gaussian_best,negative,0.185508
gaussian_best,negative,0.221677
gaussian_best,negative,0.282737
gaussian_best,negative,0.434698
gaussian_best,negative,0.140409
gaussian_best,negative,0.173006
gaussian_best,negative,0.224611
gaussian_best,negative,0.125926
gaussian_best,negative,0.201013
gaussian_best,negative,0.267804
gaussian_best,negative,0.221458
gaussian_best,negative,0.192650
gaussian_best,negative,0.283477
gaussian_best,negative,0.292285
gaussian_best,negative,0.419030
gaussian_best,negative,0.320725
gaussian_best,negative,0.212553
gaussian_best,negative,0.236285
gaussian_best,negative,0.383999
gaussian_best,negative,0.122061
gaussian_best,negative,0.095564
gaussian_best,negative,0.048008
gaussian_best,negative,0.184936
gaussian_best,negative,0.175384
gaussian_best,negative,0.244899
gaussian_best,negative,0.546505
gaussian_best,negative,0.247412
gaussian_best,negative,0.355117
gaussian_best,negative,0.097023
gaussian_best,negative,0.217048
gaussian_best,negative,0.269098
gaussian_best,negative,0.387167
gaussian_best,negative,0.168095
gaussian_best,negative,0.269736
gaussian_best,negative,0.105862
gaussian_best,negative,0.286369
gaussian_best,negative,0.181494
gaussian_best,negative,0.159489
gaussian_best,negative,0.146349
gaussian_best,negative,0.316732
gaussian_best,negative,0.220154
gaussian_best,negative,0.115443
gaussian_best,negative,0.233864
gaussian_best,negative,0.145411
gaussian_best,negative,0.360902
gaussian_best,negative,0.157979
gaussian_best,negative,0.128525
gaussian_best,negative,0.260638
gaussian_best,negative,0.245095
gaussian_best,negative,0.290087
gaussian_best,negative,0.000000
gaussian_best,negative,0.116398
gaussian_best,negative,0.089976
gaussian_best,negative,0.113509
gaussian_best,negative,0.184005
gaussian_best,negative,0.103470
gaussian_best,negative,0.312325
gaussian_best,negative,0.601851
gaussian_best,negative,0.105951
gaussian_best,negative,0.086353
gaussian_best,negative,0.274799
gaussian_best,negative,0.311800
gaussian_best,negative,0.234754
gaussian_best,negative,0.147698
gaussian_best,negative,0.169722
gaussian_best,negative,0.291586
gaussian_best,negative,0.253583
gaussian_best,negative,0.199535
gaussian_best,negative,0.195088
gaussian_best,negative,0.173567
gaussian_best,negative,0.134848
gaussian_best,negative,0.226198
gaussian_best,negative,0.384072
gaussian_best,negative,0.144200
gaussian_best,negative,0.313423
gaussian_best,negative,0.313617
gaussian_best,negative,0.078640
gaussian_best,negative,0.362038
gaussian_best,negative,0.255882
gaussian_best,negative,0.089383
gaussian_best,negative,0.210916
gaussian_best,negative,0.189567
gaussian_best,negative,0.320071
gaussian_best,negative,0.352198
gaussian_best,negative,0.373899
gaussian_best,negative,0.115971
gaussian_best,negative,0.207168
gaussian_best,negative,0.280846
gaussian_best,negative,0.107592
gaussian_best,negative,0.079043
gaussian_best,negative,0.401202
gaussian_best,negative,0.335753
gaussian_best,negative,0.251779
gaussian_best,negative,0.280994
gaussian_best,negative,0.152006
gaussian_best,negative,0.184083
gaussian_best,negative,0.119735
gaussian_best,negative,0.155058
gaussian_best,negative,0.248031
gaussian_best,negative,0.167882
gaussian_best,negative,0.298293
gaussian_best,negative,0.195254
gaussian_best,negative,0.378062
gaussian_best,negative,0.184011
gaussian_best,negative,0.123499
gaussian_best,negative,0.414062
gaussian_best,negative,0.258708
gaussian_best,negative,0.161479
gaussian_best,negative,0.184003
gaussian_best,negative,0.284287
gaussian_best,negative,0.308700
gaussian_best,negative,0.357576
gaussian_best,negative,0.196551
gaussian_best,negative,0.219121
gaussian_best,negative,0.328922
gaussian_best,negative,0.063216
gaussian_best,negative,0.187917
gaussian_best,negative,0.263812
gaussian_best,negative,0.235984
gaussian_best,negative,0.181362
gaussian_best,negative,0.367520
gaussian_best,negative,0.158061
gaussian_best,negative,0.117740
gaussian_best,negative,0.264172
gaussian_best,negative,0.285629
gaussian_best,negative,0.100193
gaussian_best,negative,0.610723
gaussian_best,negative,0.285085
gaussian_best,negative,0.204413
gaussian_best,negative,0.270990
gaussian_best,negative,0.084055
gaussian_best,negative,0.224799
gaussian_best,negative,0.118165
gaussian_best,negative,0.141672
gaussian_best,negative,0.071691
gaussian_best,negative,0.581002
gaussian_best,negative,0.601319
gaussian_best,negative,0.114175
gaussian_best,negative,0.103746
gaussian_best,negative,0.201796
gaussian_best,negative,0.346266
gaussian_best,negative,0.134389
gaussian_best,negative,0.171457
gaussian_best,negative,0.135691
gaussian_best,negative,0.391564
gaussian_best,negative,0.119732
gaussian_best,negative,0.233924
gaussian_best,negative,0.225015
gaussian_best,negative,0.193336
gaussian_best,negative,0.130004
gaussian_best,negative,0.304929
gaussian_best,negative,0.294203
gaussian_best,negative,0.248546
gaussian_best,negative,0.422880
gaussian_best,negative,0.263119
gaussian_best,negative,0.209899
gaussian_best,negative,0.176993
gaussian_best,negative,0.229762
gaussian_best,negative,0.212300
gaussian_best,negative,0.316528
gaussian_best,negative,0.293694
gaussian_best,negative,0.162689
gaussian_best,negative,0.259083
gaussian_best,negative,0.286681
gaussian_best,negative,0.262141
gaussian_best,negative,0.249094
gaussian_best,negative,0.222184
gaussian_best,negative,0.116608
gaussian_best,negative,0.261323
gaussian_best,negative,0.161868
gaussian_best,negative,0.277819
gaussian_best,negative,0.430760
gaussian_best,negative,0.192660
gaussian_best,negative,0.218770
gaussian_best,negative,0.157519
gaussian_best,negative,0.146549
gaussian_best,negative,0.269065
gaussian_best,negative,0.170771
gaussian_best,negative,0.078202
gaussian_best,negative,0.148888
gaussian_best,negative,0.297762
gaussian_best,negative,0.254299
gaussian_best,negative,0.210399
gaussian_best,negative,0.204830
gaussian_best,negative,0.286385
gaussian_best,negative,0.154416
gaussian_best,negative,0.113333
gaussian_best,negative,0.148690
gaussian_best,negative,0.183925
gaussian_best,negative,0.161109
gaussian_best,negative,0.142845
gaussian_best,negative,0.267502
gaussian_best,negative,0.067031
gaussian_best,negative,0.134183
gaussian_best,negative,0.278191
gaussian_best,negative,0.252661
gaussian_best,negative,0.202751
gaussian_best,negative,0.159885
gaussian_best,negative,0.165480
gaussian_best,negative,0.142218
gaussian_best,negative,0.241543
gaussian_best,negative,0.353754
gaussian_best,negative,0.285914
gaussian_best,negative,0.172210
gaussian_best,negative,0.146777
gaussian_best,negative,0.192894
gaussian_best,negative,0.121274
gaussian_best,negative,0.175847
gaussian_best,negative,0.549686
gaussian_best,negative,0.512033
gaussian_best,negative,0.379456
gaussian_best,negative,0.091408
gaussian_best,negative,0.196056
gaussian_best,negative,0.403148
gaussian_best,negative,0.206579
gaussian_best,negative,0.152154
gaussian_best,negative,0.169484
gaussian_best,negative,0.311338
gaussian_best,negative,0.225371
gaussian_best,negative,0.303890
gaussian_best,negative,0.149102
gaussian_best,negative,0.176985
gaussian_best,negative,0.121553
gaussian_best,negative,0.144640
gaussian_best,negative,0.185920
gaussian_best,negative,0.166920
gaussian_best,negative,0.237532
gaussian_best,negative,0.093731
gaussian_best,negative,0.211916
gaussian_best,negative,0.248493
gaussian_best,negative,0.091508
gaussian_best,negative,0.132584
gaussian_best,negative,0.156103
gaussian_best,negative,0.156581
gaussian_best,negative,0.179786
gaussian_best,negative,0.264837
gaussian_best,negative,0.266395
gaussian_best,negative,0.094602
gaussian_best,negative,0.237217
gaussian_best,negative,0.140869
gaussian_best,negative,0.148791
gaussian_best,negative,0.370359
gaussian_best,negative,0.364351
gaussian_best,negative,0.216622
gaussian_best,negative,0.040231
gaussian_best,negative,0.350876
gaussian_best,negative,0.139558
gaussian_best,negative,0.141918
gaussian_best,negative,0.304883
gaussian_best,negative,0.170835
gaussian_best,negative,0.078106
gaussian_best,negative,0.190690
gaussian_best,negative,0.185700
gaussian_best,negative,0.269757
gaussian_best,negative,0.133758
gaussian_best,negative,0.297138
gaussian_best,negative,0.232190
gaussian_best,negative,0.314005
gaussian_best,negative,0.178872
gaussian_best,negative,0.300631
gaussian_best,negative,0.321187
gaussian_best,negative,0.202777
gaussian_best,negative,0.262893
gaussian_best,negative,0.087493
gaussian_best,negative,0.230110
gaussian_best,negative,0.222420
gaussian_best,negative,0.190301
gaussian_best,negative,0.163093
gaussian_best,negative,0.163244
gaussian_best,negative,0.244605
gaussian_best,negative,0.204000
gaussian_best,negative,0.105158
gaussian_best,negative,0.221313
gaussian_best,negative,0.318429
gaussian_best,negative,0.255604
gaussian_best,negative,0.174781
gaussian_best,negative,0.105856
gaussian_best,negative,0.377139
gaussian_best,negative,0.227070
gaussian_best,negative,0.312748
gaussian_best,negative,0.296068
gaussian_best,negative,0.321616
gaussian_best,negative,0.209661
gaussian_best,negative,0.415567
gaussian_best,negative,0.283315
gaussian_best,negative,0.414558
gaussian_best,negative,0.181628
gaussian_best,negative,0.126256
gaussian_best,negative,0.238671
gaussian_best,negative,0.103532
gaussian_best,negative,0.185469
gaussian_best,negative,0.348227
gaussian_best,negative,0.259084
gaussian_best,negative,0.222459
gaussian_best,negative,0.114731
gaussian_best,negative,0.158101
gaussian_best,negative,0.343559
gaussian_best,negative,0.124285
gaussian_best,negative,0.241931
gaussian_best,negative,0.300112
gaussian_best,negative,0.636238
gaussian_best,negative,0.280653
tight_clusters,positive,0.219091
tight_clusters,positive,0.298698
tight_clusters,positive,0.183563
tight_clusters,positive,0.173930
tight_clusters,positive,0.357029
tight_clusters,positive,0.181380
tight_clusters,positive,0.185067
tight_clusters,positive,0.244616
tight_clusters,positive,0.306751
tight_clusters,positive,0.336758
tight_clusters,positive,0.207312
tight_clusters,positive,0.171008
tight_clusters,positive,0.117030
tight_clusters,positive,0.390154
tight_clusters,positive,0.294882
tight_clusters,positive,0.284970
tight_clusters,positive,0.359571
tight_clusters,positive,0.251733
tight_clusters,positive,0.136541
tight_clusters,positive,0.195606
tight_clusters,positive,0.352964
tight_clusters,positive,0.180352
tight_clusters,positive,0.073253
tight_clusters,positive,0.442024
tight_clusters,positive,0.202899
tight_clusters,positive,0.275075
tight_clusters,positive,0.356193
tight_clusters,positive,0.230774
tight_clusters,positive,0.118046
tight_clusters,positive,0.184975
tight_clusters,positive,0.432566
tight_clusters,positive,0.255655
tight_clusters,positive,0.285777
tight_clusters,positive,0.293028
tight_clusters,positive,0.628494
tight_clusters,positive,0.218088
tight_clusters,positive,0.218125
tight_clusters,positive,0.198181
tight_clusters,positive,0.357926
tight_clusters,positive,0.483006
tight_clusters,positive,0.148322
tight_clusters,positive,0.389026
tight_clusters,positive,0.290616
tight_clusters,positive,0.427961
tight_clusters,positive,0.139353
tight_clusters,positive,0.227396
tight_clusters,positive,0.322484
tight_clusters,positive,0.102645
tight_clusters,positive,0.162394
tight_clusters,positive,0.132192
tight_clusters,positive,0.277258
tight_clusters,positive,0.332071
tight_clusters,positive,0.378137
tight_clusters,positive,0.139337
tight_clusters,positive,0.498106
tight_clusters,positive,0.435063
tight_clusters,positive,0.489094
tight_clusters,positive,0.394071
tight_clusters,positive,0.172665
tight_clusters,positive,0.270616
tight_clusters,positive,0.168791
tight_clusters,positive,0.295886
tight_clusters,positive,0.377548
tight_clusters,positive,0.291432
tight_clusters,positive,0.254708
tight_clusters,positive,0.288532
tight_clusters,positive,0.347946
tight_clusters,positive,0.212439
tight_clusters,positive,0.407434
tight_clusters,positive,0.206187
tight_clusters,positive,0.141327
tight_clusters,positive,0.303090
tight_clusters,positive,0.257710
tight_clusters,positive,0.372089
tight_clusters,positive,0.512406
tight_clusters,positive,0.525674
tight_clusters,positive,0.252343
tight_clusters,positive,0.262659
tight_clusters,negative,0.382241
tight_clusters,negative,0.296857
tight_clusters,negative,0.192418
tight_clusters,negative,0.244194
tight_clusters,negative,0.258288
tight_clusters,negative,0.499472
tight_clusters,negative,0.142658
tight_clusters,negative,0.338494
tight_clusters,negative,0.370699
tight_clusters,negative,0.318468
tight_clusters,negative,0.097898
tight_clusters,negative,0.488582
tight_clusters,negative,0.236909
tight_clusters,negative,0.247095
tight_clusters,negative,0.450615
tight_clusters,negative,0.101824
tight_clusters,negative,0.226894
tight_clusters,negative,0.362345
tight_clusters,negative,0.501776
tight_clusters,negative,0.329720
tight_clusters,negative,0.513016
tight_clusters,negative,0.059225
tight_clusters,negative,0.116475
tight_clusters,negative,0.578588
tight_clusters,negative,0.239245
tight_clusters,negative,0.186104
tight_clusters,negative,0.346622
tight_clusters,negative,0.347640
tight_clusters,negative,0.368700
tight_clusters,negative,0.381042
tight_clusters,negative,0.530174
tight_clusters,negative,0.209071
tight_clusters,negative,0.469561
tight_clusters,negative,0.215029
tight_clusters,negative,0.566950
tight_clusters,negative,0.236410
tight_clusters,negative,0.250191
tight_clusters,negative,0.362259
tight_clusters,negative,0.275994
tight_clusters,negative,0.194915
tight_clusters,negative,0.339242
tight_clusters,negative,0.356079
tight_clusters,negative,0.262794
tight_clusters,negative,0.194636
tight_clusters,negative,0.298389
tight_clusters,negative,0.476908
tight_clusters,negative,0.403942
tight_clusters,negative,0.231775
tight_clusters,negative,0.366350
tight_clusters,negative,0.255400
tight_clusters,negative,0.438699
tight_clusters,negative,0.316692
tight_clusters,negative,0.250764
tight_clusters,negative,0.328088
